user_id,full_name,position,department,Управление,Отдел,location,Роль,status,access_level,Initial password,,,,,
user19,фио19,Трейдер кукурузы,Торговый блок,Зерновая торговля,Торговля кукурузой,Москва,Трейдер,активный ,High,"C,MTSu9%qQd_>",,,,,
user20,фио20,Трейдер ячменя,Торговый блок,Зерновая торговля,Торговля ячменём,Москва,Трейдер,активный ,High,vs=Ua471n[:T^,,,,,
user21,фио21,Аналитик зернового рынка,Торговый блок,Зерновая торговля,Аналитика рынков,Москва,Аналитик,активный ,Medium,9Xkx{m0A?mgfUa_tT[G,,,,,
user22,фио22,Старший трейдер масличных,Торговый блок,Масличная торговля,Торговля подсолнечником,Москва,Старший трейдер,активный ,High,F+i59]SQ2E_6p1,,,,,
user23,фио23,Трейдер подсолнечника,Торговый блок,Масличная торговля,Торговля подсолнечником,Москва,Трейдер,активный ,High,7x25BK;0!wK.^IFv,,,,,
user24,фио24,Трейдер масла,Торговый блок,Масличная торговля,Торговля маслом,Москва,Трейдер,активный ,High,=Z6zAeMX3{^6y}:$,,,,,
user25,фио25,Менеджер по закупкам сырья,Торговый блок,Масличная торговля,Закупки у сельхозпроизводителей,Краснодар,Менеджер закупок,активный ,Medium,3{}KUnd?:*hb%^,,,,,
user26,фио26,Логист морских перевозок,Логистический блок,Логистика и порты,Морские перевозки,Новороссийск,Логист SAP,активный ,Medium,9%G^|f%7D(1*,,,,,
user27,фио27,Начальник портового терминала,Логистический блок,Логистика и порты,Терминал Новороссийск,Новороссийск,Руководитель объекта,активный ,Medium,45%@}b;gb0;DR5{,,,,,
user28,фио28,Диспетчер порта,Логистический блок,Логистика и порты,Терминал Новороссийск,Новороссийск,Диспетчер,активный ,Medium,I_>}9[lv[CI02LIV,,,,,
user29,фио29,Начальник элеватора,Производственный блок,Переработка и хранение,Элеватор Ростов,Ростов-на-Дону,Руководитель объекта,активный ,Medium,>+BvM]sQK4+h,,,,,
user30,фио30,Начальник смены элеватора,Производственный блок,Переработка и хранение,Элеватор Ростов,Ростов-на-Дону,Мастер смены,активный ,Medium,Fr0@@?B}I}Zv8,,,,,
user31,фио31,Оператор элеватора,Производственный блок,Переработка и хранение,Элеватор Ростов,Ростов-на-Дону,Оператор АСУ,активный ,Medium,"v*uxbSI,D%i5Y*S4",,,,,
user32,фио32,Лаборант химик,Производственный блок,Переработка и хранение,Лаборатория элеватора,Ростов-на-Дону,Лаборант,активный ,Medium,"a,;4^}x<as65V(pKXGTm",,,,,
user33,фио33,Инженер КИПиА,Производственный блок,Переработка и хранение,Техобслуживание,Краснодар,Инженер КИП,активный ,Medium,Eyu2l*I.a{hB;#tJ.0,,,,,
user34,фио34,Электрик,Производственный блок,Переработка и хранение,Техобслуживание,Краснодар,Электрик,активный ,Medium,eV!9P/1AwaGpVo|b0,,,,,
user35,фио35,Слесарь-ремонтник,Производственный блок,Переработка и хранение,Ремонтная бригада,Воронеж,Слесарь,активный ,Medium,S}UN0Y[=4XuR^=&*,,,,,
user36,фио36,Зам. главного бухгалтера,Центральный офис,Финансы и казначейство,Бухгалтерия,Москва,Старший бухгалтер,активный ,Medium,P}z|a9H34_f>]2#Gxs,,,,,
user37,фио37,Бухгалтер по зарплате,Финансы и казначейство,Бухгалтерия,Расчёт зарплаты,Москва,Бухгалтер РСВ,активный ,Medium,f=/^:m$1:4H+{N3DO.,,,,,
user38,фио38,Бухгалтер по ТМЦ,Финансы и казначейство,Бухгалтерия,Учёт ТМЦ,Москва,Бухгалтер М-4,активный ,Medium,/@w/grZl$D1N!:&6%,,,,,
user39,фио39,Казначей,Финансы и казначейство,Казначейство,Платежи и банки,Москва,Казначей,активный ,Medium,4}MrS!GH0SF9&[2j,,,,,
user40,фио40,Финансовый аналитик,Москва,Финансы и казначейство,Бюджетирование,,Аналитик,активный ,Medium,g#/?i;iO>AqVRQ97,,,,,
user41,фио41,Системный администратор,Москва,IT и цифровизация,Инфраструктура,,Администратор AD,активный ,Medium,x>jeT91On$G}xE4n+l,,,,,
user42,фио42,Администратор 1С,Москва,IT и цифровизация,Разработка и поддержка 1С,,Администратор 1С,активный ,Medium,.i:1v|SPCt+T,,,,,
user43,фио43,Разработчик 1С,Москва,IT и цифровизация,Разработка 1С,,Разработчик 1С,активный ,Medium,nt(:S<j6X$hBuW3m,,,,,
user44,фио44,Специалист службы поддержки,Москва,IT и цифровизация,Поддержка пользователей,,Helpdesk,активный ,Medium,J-UTTtDe9?4|0],,,,,
user45,фио45,HR-специалист по подбору,Москва,HR и административная,Подбор персонала,,Рекрутер,активный ,Medium,"t2qvyn$,BEMFi22I{$<",,,,,
user46,фио46,HR-специалист по обучению,Москва,HR и административная,Обучение и развитие,,Специалист ЛМС,активный ,Medium,"i8$$.+|/1GiP#!(,V8_",,,,,
user47,фио47,Юрист договорного отдела,Москва,Юридическая и комплаенс,Договорная работа,,Юрист,активный ,Low,$dOaBE542%wNt},,,,,
user48,фио48,Комплаенс-офицер,Москва,Юридическая и комплаенс,Контроль и комплаенс,,Комплаенс,активный ,Medium,j<#=R2**_j3f9,,,,,
user49,фио49,Экономист-плановик,Москва,Финансы и казначейство,Планово-экономический,,Экономист,активный ,Medium,_nid4Dd<Z>>02y)Ey,,,,,
user50,фио50,Менеджер по ВЭД,Москва,Внешнеэкономическая деятельность,Таможенное оформление,,ВЭД-специалист,активный ,Medium,&C6.%R&u2y9BkcUX},,,,,
user51,фио51,Логист ж/д перевозок,Логистический блок,Логистика и порты,Ж/д перевозки,Ростов-на-Дону,Логист,активный ,Medium,65B^Wdt6]qnwy8p-W,,,,,
user52,фио52,Водитель-экспедитор,Логистический блок,Логистика и порты,Автопарк,Новороссийск,Водитель,активный ,Medium,uJW4$Tl/GD)x,,,,,
user53,фио53,Начальник МЭЗа,Производственный блок,Переработка и хранение,МЭЗ Краснодар,Краснодар,Руководитель объекта,активный ,Medium,Fjv9HRdr=!0:iB2R**,,,,,
user54,фио54,Оператор маслоэкстракции,Производственный блок,Переработка и хранение,Производство масла,Краснодар,Оператор,активный ,Medium,1M9n^PFr/j31RN1xkVf,,,,,
user55,фио55,Лаборант,Производственный блок,Переработка и хранение,Контроль качества,Воронеж,Лаборант,активный ,Medium,mD@$Q3.ODN(+,,,,,
user56,фио56,Трейдер сои,Торговый блок,Масличная торговля,Торговля соей,Москва,Трейдер,активный ,Medium,s*3Zv2;JTm36S,,,,,
user57,фио57,Начальник терминала Тамань,Логистический блок,Логистика и порты,Терминал Тамань,Тамань,Руководитель объекта,активный ,Medium,_1^gQk%G#5b%A:vENl,,,,,
user58,фио58,Старший диспетчер,Логистический блок,Логистика и порты,Терминал Тамань,Тамань,Диспетчер,активный ,Medium,"VNwP41_=Z,)A_)/sk)",,,,,
user59,фио59,Охранник,Административно-хозяйственная,Физическая безопасность,Объектовая охрана,Новороссийск,Охранник,активный ,Medium,4>VR}2Uw}WA{{,,,,,
user60,фио60,Уборщица,Москва,Административно-хозяйственная,Клининг,,Уборщик помещений,активный ,Medium,k$<8=sV/Ye:jtL/,,,,,
user61,фио61,Трейдер экспорт,Торговый блок,Зерновая торговля,Экспортные продажи,Москва,Экспортный трейдер,активный ,Medium,xi>a75eQnY<dN,,,,,
user62,фио62,Аналитик масличных рынков,Торговый блок,Масличная торговля,Аналитика рынков,Москва,Аналитик,активный ,Medium,z$&{LVh9M*}C#z<X2u,,,,,
user63,фио63,Сварщик,Производственный блок,Переработка и хранение,Ремонтная служба,Волгоград,Сварщик 6 разряда,активный ,Medium,ku=9]cN_o2:DjR4nO1%$,,,,,
user64,фио64,Механик,Производственный блок,Переработка и хранение,Техобслуживание,Самара,Механик,активный ,Medium,|zBtY<?Qs9mJdHJ,,,,,
user65,фио65,Начальник лаборатории,Производственный блок,Переработка и хранение,Центральная лаборатория,Москва,Руководитель лаборатории,активный ,Medium,ji8|-mJ-&[4E-p6QVp(,,,,,
user66,фио66,Документовед ВЭД,Москва,Внешнеэкономическая деятельность,Документация ВЭД,,Оформитель ВЭД,активный ,Medium,g_mnT]8B6{TA}Z50kVr_,,,,,
user67,фио67,Менеджер по рискам,Москва,Финансы и казначейство,Управление рисками,,Риск-менеджер,активный ,Medium,X<8_(!160NM<TzzQ|n,,,,,
user68,фио68,Старший логист,Логистический блок,Логистика и порты,Автоперевозки,Ростов-на-Дону,Старший логист,активный ,Medium,]Xt6@t}s03y=6+P)|,,,,,
user69,фио69,Оператор элеватора,Производственный блок,Переработка и хранение,Элеватор Воронеж,Воронеж,Оператор АСУ,активный ,Medium,AQC%H8/{0Dj+j:x{orwz,,,,,
user70,фио70,Бухгалтер по расчётам,Финансы и казначейство,Бухгалтерия,Расчёты с поставщиками,Москва,Бухгалтер,активный ,Medium,:_m/dNf0ZDQz5u2,,,,,
user71,фио71,Трейдер рапса,Торговый блок,Масличная торговля,Торговля рапсом,Москва,Трейдер,активный ,Medium,fs4/bR!R4|QY%4Vtc4K,,,,,
user72,фио72,Начальник элеватора Волгоград,Производственный блок,Переработка и хранение,Элеватор Волгоград,Волгоград,Руководитель объекта,активный ,Medium,"H7-uWy>E3Ru8HH,A",,,,,
user73,фио73,Мастер смены МЭЗа,Производственный блок,Переработка и хранение,МЭЗ Воронеж,Воронеж,Мастер смены,активный ,Medium,#z4Bem&7WciU60,,,,,
user74,фио74,Инженер-автоматизатор,Москва,IT и цифровизация,Автоматизация,,Инженер АСУ ТП,активный ,Medium,{x$bfJYt9PG[/MWYI)H>,,,,,
user75,фио75,Переводчик английского,Москва,Внешнеэкономическая деятельность,ВЭД и контракты,,Переводчик,активный ,Medium,8P4rkh.r-JPwU;6Ca,,,,,
user76,фио76,Офис-менеджер филиала,Ростов-на-Дону,Административно-хозяйственная,Администрация,,Администратор,активный ,Medium,CjIXH8r3j?t#M8h,,,,,
user77,фио77,Водитель-экспедитор,Логистический блок,Логистика и порты,Автопарк Краснодар,Краснодар,Водитель,активный ,Medium,_M0sZ&8tHdmx31^-,,,,,
user78,фио78,Тендерный специалист,Москва,Коммерческий блок,Тендеры и закупки,,Тендеры,активный ,Medium,"E3<,7zWb#z7}6Uq<7",,,,,
user79,фио79,Маркетолог,Москва,Коммерческий блок,Маркетинг и PR,,Маркетолог,активный ,Medium,l3S*y15H+FfyoDn,,,,,
user80,фио80,Начальник службы ИБ,Москва,IT и цифровизация,Информационная безопасность,,Руководитель ИБ,активный ,Medium,0OOcEWvOwZ9%_,,,,,
user81,фио81,Оператор весовой,Производственный блок,Переработка и хранение,Элеватор Саратов,Саратов,Оператор,активный ,Medium,)+$IixzLu6UeJ7cp@,,,,,
user82,фио82,Логист-координатор,Логистический блок,Логистика и порты,Контейнерные перевозки,Новороссийск,Логист,активный ,Medium,As.tcN?s!Mczs>8f3Q,,,,,
user83,фио83,Бухгалтер филиала,Ростов-на-Дону,Финансы и казначейство,Бухгалтерия филиала,,Бухгалтер,активный ,Medium,l>Jc_T#=T9d7g/,,,,,
user84,фио84,Электромонтёр,Производственный блок,Переработка и хранение,Техобслуживание,Тамань,Электрик,активный ,Medium,Z4{czYG75kn*AQ0TE,,,,,
user85,фио85,Старший оператор МЭЗа,Производственный блок,Переработка и хранение,Производство,Краснодар,Старший оператор,активный ,Medium,$:vXo1)1Gv]-Q,,,,,
user86,фио86,Кладовщик,Логистический блок,Логистика и порты,Складской учёт,Новороссийск,Кладовщик,активный ,Medium,"n!fZw)W,{PSGb5ck",,,,,
user87,фио87,HR-специалист филиала,Краснодар,HR и административная,Подбор,,Рекрутер,активный ,Medium,u4p=(EUw:R%k6,,,,,
user88,фио88,Трейдер внутренний рынок,Торговый блок,Зерновая торговля,Внутренние продажи,Москва,Трейдер,активный ,Medium,7||rRo@eaP;@8SDHzvy,,,,,
user89,фио89,Начальник смены порта,Логистический блок,Логистика и порты,Терминал Новороссийск,Новороссийск,Мастер смены,активный ,Medium,^bzLGzZo*8}7,,,,,
user90,фио90,Лаборант-контролёр,Производственный блок,Переработка и хранение,Качество зерна,Ростов-на-Дону,Лаборант,активный ,Medium,Gvd(lI3zb!^x&&,,,,,
user91,фио91,Менеджер по страхованию,Москва,Финансы и казначейство,Управление рисками,,Страхование,активный ,Medium,g8Tt+Bqbvhf!AJ>,,,,,
user92,фио92,Водитель погрузчика,Производственный блок,Переработка и хранение,Элеватор Ростов,Ростов-на-Дону,Водитель ССТ,активный ,Medium,+6VXPl<a%e|l&Z5,,,,,
user93,фио93,Юрист филиала,Новороссийск,Юридическая и комплаенс,Юридическое сопровождение,,Юрист,активный ,Medium,WV-7(8v/[aCi!,,,,,
user94,фио94,Старший бухгалтер по ОС,Финансы и казначейство,Бухгалтерия,Учёт основных средств,Москва,Бухгалтер,активный ,Medium,tPl1HW?7pHDh>6,,,,,
user95,фио95,Оператор сушилки,Производственный блок,Переработка и хранение,Элеватор Воронеж,Воронеж,Оператор,активный ,Medium,%mQv#BD4m1N?,,,,,
user96,фио96,Диспетчер автопарка,Логистический блок,Логистика и порты,Автопарк,Ростов-на-Дону,Диспетчер,активный ,Medium,pSHUFICq8:?yu}e[>ZPl,,,,,
user97,фио97,Тальман,Логистический блок,Логистика и порты,Портовый учёт,Тамань,Тальман,активный ,Medium,"nt,VdR9TBD>G&x)",,,,,
user98,фио98,Инженер-энергетик,Производственный блок,Переработка и хранение,Техобслуживание,Краснодар,Энергетик,активный ,Medium,Y**!xSDPXRv4UD8c,,,,,
user99,фио99,Охранник объекта,Волгоград,Административно-хозяйственная,Физическая безопасность,,Охранник,активный ,Medium,"*dt0b5E3PgAU,=HH",,,,,
user100,фио100,Уборщик производственных помещений,Краснодар,Административно-хозяйственная,Клининг,,Уборщик,активный ,Medium,nt+EZSE)ysvOS9;NP3|z,,,,,
user101,фио101,Начальник элеватора Самара,Производственный блок,Переработка и хранение,Элеватор Самара,Самара,Руководитель объекта,активный ,Medium,7Zl4U{LkKUzl&I?,,,,,
user102,фио102,Мастер смены элеватора,Производственный блок,Переработка и хранение,Элеватор Самара,Самара,Мастер смены,активный ,Medium,eZi&49K2yZKE^e]q,,,,,
user103,фио103,Оператор элеватора,Производственный блок,Переработка и хранение,Элеватор Самара,Самара,Оператор АСУ,активный ,Medium,4@B-K-jETehx^E<I0|{,,,,,
user104,фио104,Лаборант,Производственный блок,Переработка и хранение,Лаборатория элеватора,Самара,Лаборант,активный ,Medium,";<#qO8AlkQICv,zKI",,,,,
user105,фио105,Электрик,Производственный блок,Переработка и хранение,Техобслуживание,Самара,Электрик,активный ,Medium,[m0^|Mt^k@5yM,,,,,
user106,фио106,Слесарь-ремонтник,Производственный блок,Переработка и хранение,Ремонтная бригада,Самара,Слесарь,активный ,Medium,.e9vsA&FR.gp,,,,,
user107,фио107,Трейдер внутренний рынок,Торговый блок,Масличная торговля,Внутренние продажи,Москва,Трейдер,активный ,Medium,$0m^v3K<qRg5,,,,,
user108,фио108,Менеджер по закупкам у фермеров,Торговый блок,Масличная торговля,Закупки сырья,Воронеж,Менеджер закупок,активный ,Medium,"(MmLc;YNy6AI7UZ,[3wS",,,,,
user109,фио109,Логист авто,Логистический блок,Логистика и порты,Автоперевозки,Ростов-на-Дону,Логист,активный ,Medium,L8u=;Eo<+q*hB,,,,,
user110,фио110,Диспетчер автотранспорта,Логистический блок,Логистика и порты,Автопарк,Ростов-на-Дону,Диспетчер,активный ,Medium,.%pZG5Ta7lGqhdtMO,,,,,
user111,фио111,Водитель-экспедитор,Логистический блок,Логистика и порты,Автопарк,Ростов-на-Дону,Водитель,активный ,Medium,"3/|>,MMIf-,u",,,,,
user112,фио112,Старший бухгалтер,Финансы и казначейство,Бухгалтерия,Учёт расчётов,Москва,Старший бухгалтер,активный ,Medium,mrK&rYa;{(.7?:,,,,,
user113,фио113,Казначей-аналитик,Центральный офис,Финансы и казначейство,Казначейство,Москва,Казначей,активный ,Medium,2%3.VKN?wO|vNnO,,,,,
user114,фио114,Ведущий разработчик 1С,Москва,IT и цифровизация,Разработка 1С,,Ведущий разработчик 1С,активный ,Medium,q2$J!nJ<t8dCRye,,,,,
user115,фио115,Специалист ИБ,Москва,IT и цифровизация,Информационная безопасность,,Аналитик ИБ,активный ,Medium,_gWgRyriu-cMv-Q4,,,,,
user116,фио116,HR-бизнес-партнёр,Москва,HR и административная,Кадры и персонал,,HR BP,активный ,Medium,SB2sK:9=BBhA3(Zu,,,,,
user117,фио117,Юрист по ВЭД,Москва,Юридическая и комплаенс,Договорная работа ВЭД,,Юрист ВЭД,активный ,Medium,r9ELX&F])tBD.0V,,,,,
user118,фио118,Оператор МЭЗа,Производственный блок,Переработка и хранение,Производство масла,Краснодар,Оператор,активный ,Medium,"Z^,br3SD_ua0S+g",,,,,
user119,фио119,Лаборант химик,Производственный блок,Переработка и хранение,Лаборатория МЭЗ,Краснодар,Лаборант,активный ,Medium,Wr)vaQ9e1c{-GFHBL:c$,,,,,
user120,фио120,Инженер КИПиА,Производственный блок,Переработка и хранение,Автоматизация,Краснодар,Инженер КИП,активный ,Medium,"cP,9ZHb7z&S@#jz:ZH-",,,,,
user121,фио121,Начальник смены МЭЗа,Производственный блок,Переработка и хранение,МЭЗ Краснодар,Краснодар,Мастер смены,активный ,Medium,EpDl>]b@@V92,,,,,
user122,,Логистика и порты,Контейнерные перевозки,Логист,Логистический блок,Логист-контейнеры,активный ,Medium,">wu0sQJ1nlw=h_4>=,]b",,,,,Новороссийск
user123,фио123,Супервайзер порта,Логистический блок,Логистика и порты,Терминал Новороссийск,Новороссийск,Супервайзер,активный ,Medium,7NcWV:]kq:U5bx>LN1,,,,,
user124,фио124,Тальман,Логистический блок,Логистика и порты,Портовый учёт,Новороссийск,Тальман,активный ,Medium,CCvY.;+6yF6Y,,,,,
user125,фио125,Охранник порта,Новороссийск,Административно-хозяйственная,Физическая безопасность,,Охранник,активный ,Medium,Dd1gbiz;l0uvi3N4,,,,,
user126,фио126,Трейдер по шроту,Торговый блок,Масличная торговля,Торговля шротом,Москва,Трейдер,активный ,Medium,k_8U9D20#{rA,,,,,
user127,фио127,Аналитик цен,Торговый блок,Зерновая торговля,Аналитика рынков,Москва,Аналитик,активный ,Medium,S^8ErY=iugX!G/v=,,,,,
user128,фио128,Бухгалтер по налогам,Финансы и казначейство,Бухгалтерия,Налоговый учёт,Москва,Налоговый бухгалтер,активный ,Medium,<Y3t9pl:Lo*yE7,,,,,
user129,фио129,Экономист по бюджетированию,Москва,Финансы и казначейство,Бюджетирование,,Экономист,активный ,Medium,hVHahJN<+411,,,,,
user130,фио130,Администратор SAP,Москва,IT и цифровизация,ERP-поддержка,,Администратор SAP,активный ,Medium,uoZ549A=MCR/o$},,,,,
user131,фио131,Водитель погрузчика,Производственный блок,Переработка и хранение,Элеватор Ростов,Ростов-на-Дону,Водитель ССТ,активный ,Medium,oP)!k2Rj3(md;V>,,,,,
user132,фио132,Кладовщик элеватора,Производственный блок,Переработка и хранение,Складской учёт,Ростов-на-Дону,Кладовщик,активный ,Medium,0:m(0<TEyHU0u_D-bFw,,,,,
user133,фио133,Оператор сушилки,Производственный блок,Переработка и хранение,Элеватор Воронеж,Воронеж,Оператор,активный ,Medium,p8:kWa)(;3}:d,,,,,
user134,фио134,Механик элеватора,Производственный блок,Переработка и хранение,Техобслуживание,Воронеж,Механик,активный ,Medium,BP_||.(0$0uuPYR2,,,,,
user135,фио135,Начальник элеватора Саратов,Производственный блок,Переработка и хранение,Элеватор Саратов,Саратов,Руководитель объекта,активный ,Medium,A9.7?r*G7XgcLN[E{,,,,,
user136,фио136,Оператор элеватора,Производственный блок,Переработка и хранение,Элеватор Саратов,Саратов,Оператор АСУ,активный ,Medium,jR0du?f_yi$v&F7z^?,,,,,
user137,фио137,Логист ж/д,Логистический блок,Логистика и порты,Ж/д перевозки,Волгоград,Логист,активный ,Medium,O&r8IlBrir5XNWuZ,,,,,
user138,фио138,Диспетчер ж/д,Логистический блок,Логистика и порты,Ж/д перевозки,Волгоград,Диспетчер,активный ,Medium,sPko</lO1_6j(DD,,,,,
user139,фио139,Старший трейдер экспорт,Торговый блок,Зерновая торговля,Экспортные продажи,Москва,Старший трейдер,активный ,Medium,3cqu2Y!$)Y0<EjN}cmjf,,,,,
user140,фио140,Менеджер по сертификации,Москва,Юридическая и комплаенс,Качество и комплаенс,,Сертификация,активный ,Medium,"i7QN>c,n2O/?(gJO",,,,,
user141,фио141,Оператор весовой,Производственный блок,Переработка и хранение,Элеватор Тамань,Тамань,Оператор,активный ,Medium,"nS9,n=gx#[728Aid#RXp",,,,,
user142,фио142,Сварщик,Производственный блок,Переработка и хранение,Ремонтная служба,Тамань,Сварщик,активный ,Medium,2#!8<Mw?m)gdeM&,,,,,
user143,фио143,Электромонтёр,Производственный блок,Переработка и хранение,Техобслуживание,Тамань,Электрик,активный ,Medium,#lhk]{ohD0%n_cM[y^!,,,,,
user144,фио144,HR-специалист по кадровому делопроизводству,Москва,HR и административная,Кадровое ДП,,Кадровик,активный ,Medium,UxKz3&2Q0d}Z2X-Ho%e,,,,,
user145,фио145,Офис-менеджер,Краснодар,Административно-хозяйственная,Администрация,,Администратор,активный ,Medium,p{Ds{XR|0{|2GD,,,,,
user146,фио146,Бухгалтер филиала Краснодар,Краснодар,Финансы и казначейство,Бухгалтерия филиала,,Бухгалтер,активный ,Medium,"m#_VO{86E(,?r7r",,,,,
user147,фио147,Трейдер по фуражу,Торговый блок,Зерновая торговля,Внутренние продажи,Москва,Трейдер,активный ,Medium,0Cx&3S5{$#w^M,,,,,
user148,фио148,Логист по мультимодальным перевозкам,Логистический блок,Логистика и порты,Мультимодал,Новороссийск,Логист,активный ,Medium,%y1n<CYHO_2apzFt*{,,,,,
user149,фио149,Кладовщик порта,Логистический блок,Логистика и порты,Портовый склад,Новороссийск,Кладовщик,активный ,Medium,T$h];z]7ifpB8]z#,,,,,
user150,фио150,Лаборант портового терминала,Логистический блок,Логистика и порты,Качество зерна,Новороссийск,Лаборант,активный ,Medium,"jJ6fza#,>e_fx-zO",,,,,
user151,фио151,Инженер-проектировщик,Москва,Технический блок,Капитальное строительство,,Инженер-проектировщик,активный ,Medium,?z(A1-9%I121{q@v[,,,,,
user152,фио152,Документовед,Москва,Административно-хозяйственная,ЭДО и архив,,Документовед,активный ,Medium,F]hs%=nSSGJ3,,,,,
user153,фио153,Оператор МЭЗа,Производственный блок,Переработка и хранение,МЭЗ Воронеж,Воронеж,Оператор,активный ,Medium,",wt:)H7:6:1Ru3)7_Th",,,,,
user154,фио154,Мастер смены МЭЗа,Производственный блок,Переработка и хранение,МЭЗ Воронеж,Воронеж,Мастер смены,активный ,Medium,#gat<{lU!M96277,,,,,
user155,фио155,Техник-лаборант,Производственный блок,Переработка и хранение,Лаборатория МЭЗ,Воронеж,Лаборант,активный ,Medium,"eIDr,rJ/B=4[H;/Or",,,,,
user156,фио156,Водитель-курьер,Москва,Административно-хозяйственная,Офис Москва,,Водитель,активный ,Medium,yP3dTMXnLTfP|,,,,,
user157,фио157,Старший механик,Производственный блок,Переработка и хранение,Техобслуживание,Краснодар,Старший механик,активный ,Medium,FbQdf=*tMuWG8L?Q,,,,,
user158,фио158,Энергетик,Производственный блок,Переработка и хранение,Энергоснабжение,Самара,Энергетик,активный ,Medium,"^%)-AsKz6YkX2B,Z-N^=",,,,,
user159,фио159,Охранник элеватора,Самара,Административно-хозяйственная,Физическая безопасность,,Охранник,активный ,Medium,RZ=}H5+$6iOWQDr_4,,,,,
user160,фио160,Уборщик территории,Ростов-на-Дону,Административно-хозяйственная,Клининг,,Уборщик,активный ,Medium,=O4ldeog414DEq{%(D=A,,,,,
user161,фио161,Трейдер по экспорту в Китай,Торговый блок,Зерновая торговля,Экспорт Азия,Москва,Трейдер,активный ,Medium,L)7Qro0f!J*Jtt6>;T5A,,,,,
user162,фио162,Менеджер по закупкам ГСМ,Логистический блок,Логистика и порты,Закупки ГСМ,Москва,Менеджер закупок,активный ,Medium,r1bDUPwKx>5S,,,,,
user163,фио163,Оператор АЗС компании,Логистический блок,Логистика и порты,Автопарк,Ростов-на-Дону,Оператор АЗС,активный ,Medium,X:Qp]iO5O+PI1,,,,,
user164,фио164,Старший логист,Логистический блок,Логистика и порты,Морские перевозки,Новороссийск,Старший логист,активный ,Medium,6(tVBLvVar5s2]kXa,,,,,
user165,фио165,Координатор экспедирования,Логистический блок,Логистика и порты,Экспедирование,Новороссийск,Координатор,активный ,Medium,&RCX5)RI5f;iu,,,,,
user166,фио166,Бухгалтер по авансам,Финансы и казначейство,Бухгалтерия,Расчёты,Москва,Бухгалтер,активный ,Medium,<]P>8(A/0fnBGcgD,,,,,
user167,фио167,Ведущий инженер АСУ ТП,Москва,IT и цифровизация,Автоматизация,,Инженер АСУ ТП,активный ,Medium,cKH1xQ1.az0e,,,,,
